baseline：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
screenspot-pro,eviews,AS,PS,AI,BL,stata,vscode,vmware,vivado,unreal,windows_common,word,inventor,premiere,macos_common,linux_common,pycharm,origin,quartus,solidworks,davinci_macos,excel_macos,fruitloops,CAD,powerpoint_windows,matlab,AVG,Dev,Creative,cad,Scientific,office,OS
qwen3-vl-235b,98,53.8,80.4,38.7,69,49,72.7,68.3,81.3,77.1,46.9,83.3,48.6,48.1,61.5,72,65.4,35.5,48.9,40.3,47.7,57,61.4,20.6,80.5,78.5,60.9,67.46,57.55,47.94,65.25,73.6,60.1333333333333
qwen3-vl-32b,100,52.5,80.4,64.5,74.6,51,67.3,82.9,78.8,60,53.1,86.9,55.7,57.7,64.6,68,69.2,37.1,60,42.9,45.5,62.5,56.1,26.5,78,76.3,63.5,66.38,63.1333333333333,52.78,66.1,75.8,61.9
UI-TARS-1.5-7B,92,41.3,70.6,16.1,59.2,42.9,49.1,73.2,66.3,62.9,29.6,89.3,37.1,57.7,53.8,54,43.6,37.1,48.9,32.5,47.7,59.4,54.4,47.1,76.8,68.8,54.3,54.02,50.95,46.38,60.2,75.1666666666667,45.8
"2-layers, red small circle（(Labelled Image as Hint, Red Solid Transparent Circle，R=10）：",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qwen3-vl-32b-dual,100,50,82.4,58.1,71.8,53.1,69.1,82.9,76.3,62.9,55.6,88.1,55.7,59.6,64.6,70,67.9,35.5,60,45.5,47.7,62.5,56.1,26.5,82.4,78.5,64,64.6958477508651,63.7156862745098,55.906862745098,67.3362204724409,78.944347826087,62.2581632653061
"2-layers, red big circle（(Labelled Image as Hint, Red Solid Transparent Circle，R=100）：",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qwen3-vl-32b-dual,96,55,82.4,58.1,76.1,57.1,69.1,82.9,77.5,57.1,53.1,90.5,55.7,59.6,64.6,70,67.9,38.7,62.2,45.5,47.7,67.2,56.1,32.4,78,81.7,64.7,65.377508650519,64.7133986928105,57.1996732026144,69.2732283464567,79.56,61.225
"2-layers, text as cue：",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qwen3-vl-32b-dual,100,55,84.3,61.3,70.4,49,67.3,85.4,77.5,57.1,54.3,86.9,54.3,55.8,63.1,72,66.7,37.1,60,41.6,40.9,60.9,57.9,23.5,79.3,79.6,63.1,65.0657439446367,62.7434640522876,54.5856209150327,67.3385826771653,76.955652173913,61.7336734693878
"2-layers, complex pattern：",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
